Date,Open,High,Low,Close,Adj Close,Volume,VIX Close,10-year bond price, nasdaq Close,dow close,r2000 Close
5/9/1990,342.01001,343.079987,340.899994,342.859985,342.859985,152220000,18.639999,8.88,431.299988,2732.879883,161.080002
5/10/1990,342.869995,344.980011,342.769989,343.820007,343.820007,158460000,18.59,8.82,433.200012,2738.51001,161.669998
5/11/1990,343.820007,352.309998,343.820007,352,352,234040000,19.809999,8.64,438.100006,2801.580078,163.119995
5/14/1990,352,358.410004,351.950012,354.75,354.75,225410000,20.139999,8.61,441.600006,2821.530029,163.839996
5/15/1990,354.75,355.089996,352.839996,354.279999,354.279999,165730000,19.49,8.65,442.5,2822.449951,163.660004
5/16/1990,354.269989,354.679993,351.950012,354,354,159810000,17.709999,8.68,442.899994,2819.679932,163.860001
5/17/1990,354,356.920013,354,354.470001,354.470001,164770000,17.27,8.69,445.700012,2831.709961,164.809998
5/18/1990,354.470001,354.640015,352.519989,354.640015,354.640015,162520000,17.200001,8.75,448.299988,2819.909912,165.440002
5/21/1990,354.640015,359.070007,353.779999,358,358,166280000,16.719999,8.74,452.899994,2844.679932,166.649994
5/22/1990,358,360.5,356.089996,358.429993,358.429993,203350000,17.84,8.65,453.899994,2852.22998,167.220001
5/23/1990,358.429993,359.290009,356.98999,359.290009,359.290009,172330000,17.18,8.61,456.899994,2856.26001,167.800003
5/24/1990,359.290009,359.559998,357.869995,358.410004,358.410004,155140000,17.700001,8.63,458.299988,2855.550049,167.940002
5/25/1990,358.410004,358.410004,354.320007,354.579987,354.579987,120250000,17.32,8.69,453.700012,2820.919922,167.289993
5/29/1990,354.579987,360.649994,354.549988,360.649994,360.649994,137410000,18.75,8.66,457.5,2870.48999,168.199997
5/30/1990,360.649994,362.26001,360,360.859985,360.859985,199540000,17.440001,8.62,458.799988,2878.560059,168.669998
5/31/1990,360.859985,361.839996,360.230011,361.230011,361.230011,165690000,17.370001,8.6,459,2876.659912,168.910004
6/1/1990,361.26001,363.519989,361.209991,363.160004,363.160004,187860000,17.09,8.44,462.100006,2900.969971,169.699997
6/4/1990,363.160004,367.850006,362.429993,367.399994,367.399994,175520000,18.389999,8.44,465.600006,2935.189941,170.619995
6/5/1990,367.399994,368.779999,365.48999,366.640015,366.640015,199720000,18.969999,8.47,464.600006,2925,170.229996
6/6/1990,366.640015,366.640015,364.420013,364.959991,364.959991,164030000,17.42,8.46,465,2911.649902,169.910004
6/7/1990,365.920013,365.920013,361.600006,363.149994,363.149994,160360000,16.879999,8.46,464.100006,2897.330078,169.800003
6/8/1990,363.149994,363.48999,357.679993,358.709991,358.709991,142600000,17.58,8.46,460.899994,2862.379883,168.929993
6/11/1990,358.709991,361.630005,357.700012,361.630005,361.630005,119550000,16.34,8.48,462.799988,2892.570068,169.089996
6/12/1990,361.630005,367.269989,361.149994,366.25,366.25,157100000,16.6,8.48,466.600006,2933.419922,170.029999
6/13/1990,366.25,367.089996,364.51001,364.899994,364.899994,158910000,17.379999,8.4,468.899994,2929.949951,170.869995
6/14/1990,364.899994,364.899994,361.640015,362.899994,362.899994,135770000,17.4,8.38,467.100006,2928.219971,170.630005
